,role,name,club,season,points,games-started,minutes-played,goals-scored,assists,clean-sheets,goals-conceded,defensive-contribution,own-goals,penalties-saved,saves,bonus,red-cards,ict-index,current-price
0,Midfielder,Mohamed Salah,Liverpool,2024/25,344,38,3374,29,18,15,40,136,0,0,0,55,0,476.0,£14.5m
1,Midfielder,Mohamed Salah,Liverpool,2023/24,211,28,2531,18,12,8,30,0,0,0,0,24,0,346.0,£14.5m
2,Midfielder,Mohamed Salah,Liverpool,2022/23,239,37,3290,19,13,13,45,0,0,0,0,23,0,365.6,£14.5m
3,Midfielder,Bryan Mbeumo,Man Utd,2024/25,236,38,3415,20,9,9,55,273,0,0,0,29,0,340.8,£8.0m
4,Midfielder,Bryan Mbeumo,Man Utd,2023/24,127,22,1957,9,7,5,31,0,0,0,0,12,0,170.1,£8.0m
5,Midfielder,Bryan Mbeumo,Man Utd,2022/23,150,36,2905,9,9,10,39,0,0,0,0,19,0,239.5,£8.0m
6,Midfielder,Cole Palmer,Chelsea,2024/25,214,36,3193,15,10,10,41,171,0,0,0,35,0,338.0,£10.5m
7,Midfielder,Cole Palmer,Chelsea,2023/24,244,29,2617,22,13,7,46,0,0,0,0,32,0,327.8,£10.5m
8,Midfielder,Cole Palmer,Chelsea,2022/23,19,2,358,0,1,1,4,0,0,0,0,0,0,31.9,£10.5m
9,Forward,Alexander Isak,Newcastle,2024/25,211,34,2758,23,6,12,41,89,0,0,0,36,0,292.7,£10.5m
10,Forward,Alexander Isak,Newcastle,2023/24,172,27,2253,21,4,7,41,0,0,0,0,23,0,229.3,£10.5m
11,Forward,Alexander Isak,Newcastle,2022/23,100,17,1520,10,2,4,20,0,0,0,0,18,0,145.2,£10.5m
12,Forward,Chris Wood,Nott'm Forest,2024/25,200,35,2958,20,3,15,37,96,0,0,0,41,0,205.6,£7.5m
13,Forward,Chris Wood,Nott'm Forest,2023/24,131,20,1801,14,1,2,34,0,0,0,0,22,0,167.4,£7.5m
14,Forward,Chris Wood,Nott'm Forest,2022/23,53,9,807,3,0,4,9,0,0,0,0,7,0,39.3,£7.5m
15,Forward,Jarrod Bowen,West Ham,2024/25,193,34,2974,13,11,8,50,211,0,0,0,21,0,271.9,£8.0m
16,Forward,Jarrod Bowen,West Ham,2023/24,182,34,3020,16,6,5,63,0,0,0,0,14,0,247.8,£8.0m
17,Forward,Jarrod Bowen,West Ham,2022/23,145,36,3232,6,9,9,50,0,0,0,0,9,0,241.8,£8.0m
18,Forward,Ollie Watkins,Aston Villa,2024/25,186,31,2593,16,8,10,40,78,0,0,0,32,0,223.8,£9.0m
19,Forward,Ollie Watkins,Aston Villa,2023/24,228,37,3222,19,18,7,56,0,0,0,0,29,0,302.8,£9.0m
20,Forward,Ollie Watkins,Aston Villa,2022/23,175,36,3129,15,8,13,40,0,0,0,0,25,0,256.7,£9.0m
21,Forward,Yoane Wissa,Brentford,2024/25,185,34,2921,18,6,9,45,138,0,0,0,32,0,242.4,£7.5m
22,Forward,Yoane Wissa,Brentford,2023/24,131,29,2488,12,4,11,40,0,0,0,0,15,0,173.2,£7.5m
